,dates,CA,TX,WI
310,2011-12-05,0.0,2.7,1.05
311,2011-12-06,0.0,0.0,0.2
312,2011-12-07,0.0,0.0,0.0
313,2011-12-08,0.0,0.0,0.05
314,2011-12-09,0.0,0.55,0.0
315,2011-12-10,0.0,0.4,0.0
316,2011-12-11,0.0,0.05,0.0
317,2011-12-12,17.35,0.35,1.35
318,2011-12-13,2.85,0.65,0.4
319,2011-12-14,0.0,8.7,15.45
320,2011-12-15,1.0,4.85,2.5
321,2011-12-16,0.05,2.3,0.0
322,2011-12-17,1.3,0.6,1.0499999999999998
323,2011-12-18,1.75,0.0,0.0
324,2011-12-19,0.1,8.35,0.0
325,2011-12-20,0.0,1.0,0.0
326,2011-12-21,0.0,0.15,1.7000000000000002
327,2011-12-22,0.0,15.9,0.95
328,2011-12-23,0.0,0.1,1.05
329,2011-12-24,0.0,7.300000000000001,0.0
330,2011-12-25,0.0,1.55,0.0
331,2011-12-26,0.0,0.39999999999999997,0.0
332,2011-12-27,0.0,0.0,0.7999999999999999
333,2011-12-28,0.0,0.0,0.1
334,2011-12-29,0.0,0.0,1.3
335,2011-12-30,0.0,0.0,10.75
336,2011-12-31,0.0,0.0,0.39999999999999997
337,2012-01-01,0.0,0.1,6.75
338,2012-01-02,0.0,0.0,0.6
339,2012-01-03,0.0,0.0,0.0
340,2012-01-04,0.0,0.15,0.0
341,2012-01-05,0.0,0.15,0.0
342,2012-01-06,0.5,0.05,0.1
343,2012-01-07,0.9,0.05,0.35
344,2012-01-08,0.0,1.3,0.0
345,2012-01-09,1.0,4.15,0.30000000000000004
346,2012-01-10,0.0,4.25,0.0
347,2012-01-11,0.0,0.0,2.0
348,2012-01-12,0.0,0.0,7.25
349,2012-01-13,0.0,0.0,1.8
350,2012-01-14,0.0,0.0,0.05
351,2012-01-15,0.7,0.1,0.1
352,2012-01-16,2.55,0.30000000000000004,0.55
353,2012-01-17,0.0,2.65,3.8
354,2012-01-18,0.0,0.0,0.25
355,2012-01-19,0.0,0.0,0.15000000000000002
356,2012-01-20,0.0,0.35,5.3
357,2012-01-21,3.9,0.0,0.45
358,2012-01-22,0.0,0.3,0.7
359,2012-01-23,11.3,0.0,10.05
360,2012-01-24,0.0,9.649999999999999,0.0
361,2012-01-25,0.0,11.55,0.55
362,2012-01-26,0.0,2.9,0.15000000000000002
363,2012-01-27,0.0,0.0,1.4000000000000001
364,2012-01-28,0.0,0.0,1.3
365,2012-01-29,0.0,0.0,2.5
366,2012-01-30,0.0,1.05,1.0
367,2012-01-31,0.0,2.65,0.25
368,2012-02-01,0.0,0.45,0.05
369,2012-02-02,0.0,2.2,0.65
370,2012-02-03,0.0,12.450000000000001,0.0
371,2012-02-04,0.0,15.95,0.0
372,2012-02-05,0.0,11.75,0.0
373,2012-02-06,0.0,0.0,0.0
374,2012-02-07,3.4000000000000004,0.0,0.55
375,2012-02-08,0.0,0.0,0.0
376,2012-02-09,0.0,0.55,0.0
377,2012-02-10,0.0,6.6,2.1
